[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 融资名称 | 相关新闻 | 融资数额 | 交割日期 | 备注 | 融资单位 | 融资轮次 | 领投方 | 投后估值 | 跟投方 | 进度类型 | 融资负责人 |
[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 融资名称 | 相关新闻 | 融资数额 | 交割日期 | 备注 | 融资单位 | 融资轮次 | 领投方 | 投后估值 | 跟投方 | 进度类型 | 融资负责人 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| recvjYDkV9cY4X | 能量奇点_首轮融资 |  | 近4亿元人民币 | 2022-02-25 00:00:00 | 用于全高温超导小型托卡马克研发。 | [{"id":"recvk9ZmAnIVHm"}] | ["首轮融资"] | [] |  |  | ["交割完成"] |  |
| recvjYDC4ajfZS | _ |  |  |  |  | [] |  |  |  |  |  |  |
| recvjYDC4aOJUT | _ |  |  |  |  | [] |  |  |  |  |  |  |
| recvjYDC4ahFpr | _ |  |  |  |  | [] |  |  |  |  |  |  |
| recvk9UmwQUf5F | 能量奇点_Pre-A |  | 近4亿元人民币 | 2023-04-28 00:00:00 | 官方英文新闻稿披露。 | [{"id":"recvk9ZmAnIVHm"}] | ["Pre-A"] | [{"id":"recvjYMXCCKzks"}] |  | [] | ["交割完成"] |  |
| recvk9VlBlvgAD | 新奥聚变_战略投资 |  | 累计15亿元人民币 |  |  | [{"id":"recvk9ZmAn74mx"}] | ["战略投资"] | [{"id":"recvjXe4braAis"}] | 未披露 |  | ["交割完成"] |  |
| recvk9VlBlzIly | 瀚海聚能_种子轮 |  | 数千万元人民币 | 2023-03-01 00:00:00 | 瀚海聚能（成都）科技有限公司，中国首家FRC场反位形装置聚变公司，对标Helion Energy；种子轮由轻舟资本领投。 | [{"id":"recvk9ZmAnWrE6"}] | ["种子轮"] | [{"id":"recvjXg7zT4pD6"}] | 未披露 |  | ["交割完成"] |  |
| recvk9VlBlmIf3 | 瀚海聚能_天使轮 |  | 数千万元人民币 | 2024-04-01 00:00:00 | 累计融资5000万元人民币；华映资本领投，奇绩创坛、厚实基金跟投。 | [{"id":"recvk9ZmAnWrE6"}] | ["天使轮"] | [{"id":"recvjXgdrYiF80"}] | 累计融资5000万元人民币 |  | ["交割完成"] |  |
| recvk9VlBlLxBF | 星能玄光_天使轮 |  | 数千万元人民币 | 2023-08-01 00:00:00 |  | [{"id":"recvk9ZmAn0Vga"}] | ["天使轮"] | [{"id":"recvjYNFvaFCff"}] | 未披露 | [{"id":"recvjXe2k5LdYW"}] | ["交割完成"] |  |
| recvk9ZPiv81Fn | 鸿鹄聚变_种子轮 |  | 1亿元人民币 | 2024-12-01 00:00:00 |  | [{"id":"recvk9ZmAnNK57"}] | ["种子轮"] |  | 未披露 |  | ["交割完成"] |  |
| recvk9ZPiv9Iku | 零点聚能_天使轮 |  | 5000万元人民币 | 2025-12-18 00:00:00 |  | [{"id":"recvk9ZmAnLVjh"}] | ["天使轮"] | [{"id":"recvjYP2OMITW1"}] | 未披露 |  | ["交割完成"] |  |
| recvk9ZPivGJIL | 安东聚变_天使轮 |  | 近1亿元人民币 | 2025-10-22 00:00:00 |  | [{"id":"recvk9ZmAn8jfl"}] | ["天使轮"] |  | 未披露 | [] | ["交割完成"] |  |
| recvk9ZPiv7KW0 | 岩超聚能_天使轮 |  | 3000万元人民币 | 2025-08-01 00:00:00 |  | [{"id":"recvk9ZmAnWh6Y"}] | ["天使轮"] |  | 未披露 | [{"id":"recvjYPptzPDjU"}] | ["交割完成"] |  |
| recvk9ZPivaDuy | 启明星聚变_天使轮 |  | 2000万元人民币 | 2024-06-01 00:00:00 |  | [{"id":"recvk9ZmAnXVhn"}] | ["天使轮"] | [{"id":"recvjYPymM0MFp"}] | 未披露 |  | ["交割完成"] |  |
| recvk9ZX0HUtaJ | 中科聚能_天使轮 |  | 1亿元人民币 | 2023-11-01 00:00:00 |  | [{"id":"recvk9ZmAngIhG"}] | ["天使轮"] | [{"id":"recvjXfPIjrdB8"}] | 未披露 | [{"id":"recvjXfTxzsvdO"}] | ["交割完成"] |  |
| recvk9ZXR6hUBZ | 星尘聚变_天使轮 |  | 1500万元人民币 | 2025-03-01 00:00:00 |  | [{"id":"recvk9ZmAnMJNx"}] | ["天使轮"] | [{"id":"recvjXfVmVRRE3"}] | 未披露 |  | ["交割完成"] |  |
| recvk9ZXR67Ut3 | 天工聚变_天使轮 |  | 2000万元人民币 | 2025-09-01 00:00:00 |  | [{"id":"recvk9ZmAnxxo1"}] | ["天使轮"] | [{"id":"recvjXfOCYl9ll"}] | 未披露 | [{"id":"recvjYQ19Jrm9N"}] | ["交割完成"] |  |
| recvk9ZXR6UuFN | 极星聚变_种子轮 |  | 3000万元人民币 | 2026-02-01 00:00:00 |  | [{"id":"recvk9ZmAnIqlD"}] | ["种子轮"] | [{"id":"recvjXfWutdWm8"}] | 未披露 | [{"id":"recvjXfMqyx9zE"}] | ["交割完成"] |  |
| recvk9ZXR6yM9q | 乾元聚变_天使轮 |  | 1000万元人民币 | 2024-08-01 00:00:00 |  | [{"id":"recvk9ZmAn7fPm"}] | ["天使轮"] | [{"id":"recvjYQjs5CcXJ"}] | 未披露 | [{"id":"recvjYQr3vshZP"}] | ["交割完成"] |  |
| recvk9ZXR64YNR | 华光聚变_天使轮 |  | 2500万元人民币 | 2025-06-01 00:00:00 |  | [{"id":"recvk9ZmAnXIm3"}] | ["天使轮"] | [{"id":"recvjYQvBZiY76"}] | 未披露 | [{"id":"recvjXezKLrZLK"}] | ["交割完成"] |  |
| recvk9ZXR60jqW | 九州聚变_天使轮 |  | 4000万元人民币 | 2025-10-01 00:00:00 |  | [{"id":"recvk9ZmAnbJoi"}] | ["天使轮"] | [{"id":"recvjXg0jZVDzN"}] | 未披露 | [{"id":"recvjXexMKb2uo"}] | ["交割完成"] |  |
| recvk9ZXR6G7jT | 环宇聚变_战略投资 |  | 5000万元人民币 | 2024-09-01 00:00:00 |  | [{"id":"recvk9ZmAnPIIf"}] | ["战略投资"] | [{"id":"recvjYQH0xMwkZ"}] | 未披露 | [{"id":"recvjXfKt12Uwx"}] | ["交割完成"] |  |
| recvk9ZXR6KiIq | 新烛时代_天使轮 |  | 6000万元人民币 | 2026-03-21 00:00:00 |  | [{"id":"recvk9ZmAnJKMA"}] | ["天使轮"] | [] | 3.1亿人民币 | [{"id":"recvjXbwumYEaq"}] | ["交割完成"] |  |
| recvk9ZXR6P4eN | Thea Energy_A轮 |  | 2000万美元 | 2024-02-08 00:00:00 | 用于平面线圈磁体阵列、Eos neutron-source stellarator设计与团队扩张。 | [{"id":"recvk9ZmAnV6t3"}] | ["A轮"] | [{"id":"recvkiW31LYGjy"}] |  |  | ["交割完成"] |  |
| recvk9ZXR6jIp4 | Xcimer Energy_A轮 |  | 1亿美元 | 2024-06-04 00:00:00 | 用于建设原型设施和Phoenix激光系统。 | [{"id":"recvk9ZmAnvgWK"}] | ["A轮"] | [{"id":"recvkiW31LYXLp"}] |  |  | ["交割完成"] |  |
| recvk9ZXR6Nguv | SHINE Technologies_条件贷款承诺 |  | 最高2.63亿美元 | 2026-04-09 00:00:00 | DOE公告为conditional commitment，不等同已经提款。 | [{"id":"recvk9ZmAnytmd"}] | ["条件贷款承诺"] | [] |  |  | ["条件承诺"] |  |
| recvk9ZXR6NAgf | SHINE Technologies_条件贷款承诺 |  | 最高2.63亿美元 | 2026-04-09 00:00:00 | DOE公告为conditional commitment，不等同已经提款。 | [{"id":"recvk9ZmAnytmd"}] | ["条件贷款承诺"] | [] |  |  | ["条件承诺"] |  |
| recvk9ZXR6F3SZ | Blue Laser Fusion_种子轮 |  | 3750万美元 | 2024-03-20 00:00:00 |  | [{"id":"recvk9ZmAnuM7A"}] | ["种子轮"] | [] |  |  | ["交割完成"] |  |
| recvk9ZXR63jOw | nT-Tao_A轮 |  | 2200万美元 | 2023-02-01 00:00:00 | 公告称累计融资2800万美元。 | [{"id":"recvk9ZmAn69kT"}] | ["A轮"] |  |  |  | ["交割完成"] |  |
| recvka1CBikOsC | Avalanche Energy_A轮 |  | 4000万美元 | 2023-04-24 00:00:00 | 同时宣布200kV微型聚变反应器里程碑。 | [{"id":"recvk9ZmAni8je"}] | ["A轮"] | [{"id":"recvkiW31LzAdd"}] |  |  | ["交割完成"] |  |
| recvkiWaas4Bsw | First Light Fusion_C轮 |  | 4500万美元 | 2022-02-14 00:00:00 |  | [{"id":"recvk9ZmAnmbk9"}] | ["C轮"] |  |  |  | ["交割完成"] |  |
| recvkiWaaseQA7 | SHINE Technologies_条件贷款承诺 |  | 最高2.63亿美元 | 2026-04-09 00:00:00 | DOE公告为conditional commitment，不等同已经提款。 | [{"id":"recvk9ZmAnytmd"}] | ["条件贷款承诺"] | [] |  |  | ["条件承诺"] |  |
| recvkiWaasNTgj | Kyoto Fusioneering_C+ |  | 93亿日元（股权+债务） | 2025-09-09 00:00:00 | 其中股权扩展与债务/授信合计；公司称Series C扩展股权累计40.8亿日元。 | [{"id":"recvk9ZmAnAOj8"}] | ["C+"] | [{"id":"recvkdgDLdJsRG"}] |  |  | ["交割完成"] |  |
